Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.4694E-17,1.8731E-08,1.7347E-18,0,0,0,2.2249,0.0077471,2.5146E-18,-1.5123E-10,0.030164,2.7057E-18,0.036104,0,0,0,0,0,0,package://7_degree/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://7_degree/meshes/base_link.STL,,body-1,坐标系5,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_link,-2.9085E-08,0.060794,-0.028817,0,0,0,0.38611,0.0010916,4.8378E-10,1.0126E-09,0.0002103,-1.1724E-05,0.0010898,0,0,0,0,0,0,package://7_degree/meshes/left_front_link.STL,1,1,1,1,0,0,0,0,0,0,package://7_degree/meshes/left_front_link.STL,,leg-1,坐标系1,基准轴1,left_front_leg,continuous,0.14255,0.10223,0,1.5708,1.5708,0,base_link,0,0.12187,-0.99255,5,487,,,,,,,,,,
right_front_link,2.9085E-08,0.060794,0.028817,0,0,0,0.38611,0.0010916,-4.8378E-10,1.0126E-09,0.0002103,1.1724E-05,0.0010898,0,0,0,0,0,0,package://7_degree/meshes/right_front_link.STL,1,1,1,1,0,0,0,0,0,0,package://7_degree/meshes/right_front_link.STL,,leg-2,坐标系2,基准轴2,right_front_leg,continuous,0.14255,-0.10223,0,1.5708,1.5708,0,base_link,0,0.12187,0.99255,5,487,,,,,,,,,,
right_back_link,4.9837E-09,0.05683,0.03601,0,0,0,0.38611,0.0010916,-6.7865E-10,6.7979E-10,0.00022052,-9.5015E-05,0.0010796,0,0,0,0,0,0,package://7_degree/meshes/right_back_link.STL,1,1,1,1,0,0,0,0,0,0,package://7_degree/meshes/right_back_link.STL,,leg-3,坐标系3,基准轴3,right_back_leg,continuous,-0.14255,-0.10223,0,1.693,1.5708,0,base_link,0,0,1,5,487,,,,,,,,,,
left_back_link,-4.9837E-09,0.052018,-0.042668,0,0,0,0.38611,0.0010916,7.5644E-10,5.9202E-10,0.00025627,0.00019611,0.0010439,0,0,0,0,0,0,package://7_degree/meshes/left_back_link.STL,1,1,1,1,0,0,0,0,0,0,package://7_degree/meshes/left_back_link.STL,,leg-4,坐标系4,基准轴4,left_back_leg,continuous,-0.14255,0.10223,0,1.5708,1.5708,0,base_link,0,-0.12187,-0.99255,5,487,,,,,,,,,,
