Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.0817E-17,5.804E-08,0,0,0,0,2.1812,0.0077003,1.3103E-18,-8.3723E-11,0.032403,-2.6294E-18,0.03826,0,0,0,0,0,0,package://17_degree/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://17_degree/meshes/base_link.STL,,body-1,坐标系5,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_fromt_link,-9.9038E-08,0.071472,-0.016056,0,0,0,0.40963,0.0013976,3.2333E-10,6.0715E-10,0.00026909,-0.00023519,0.0013458,0,0,0,0,0,0,package://17_degree/meshes/left_fromt_link.STL,1,1,1,1,0,0,0,0,0,0,package://17_degree/meshes/left_fromt_link.STL,,leg-1,坐标系1,基准轴1,left_front_leg,continuous,0.16011,0.098499,0,1.5708,1.5708,0,base_link,0,0.29237,-0.9563,5,487,,,,,,,,,,
right_front_link,9.9038E-08,0.071472,0.016056,0,0,0,0.40963,0.0013976,-3.2333E-10,6.0715E-10,0.00026909,0.00023519,0.0013458,0,0,0,0,0,0,package://17_degree/meshes/right_front_link.STL,1,1,1,1,0,0,0,0,0,0,package://17_degree/meshes/right_front_link.STL,,leg-2,坐标系2,基准轴2,right_front_leg,continuous,0.16011,-0.098499,0,1.5708,1.5708,0,base_link,0,0.29237,0.9563,5,487,,,,,,,,,,
right_back_link,8.0689E-08,0.063656,0.036251,0,0,0,0.40962,0.0013976,-3.5446E-10,2.9035E-10,0.00022961,-0.00010605,0.0013852,0,0,0,0,0,0,package://17_degree/meshes/right_back_link.STL,1,1,1,1,0,0,0,0,0,0,package://17_degree/meshes/right_back_link.STL,,leg-3,坐标系3,基准轴3,right_back_leg,continuous,-0.16011,-0.098499,0,1.8675,1.5708,0,base_link,0,0,1,5,487,,,,,,,,,,
left_back_link,-8.0689E-08,0.050276,-0.053278,0,0,0,0.40962,0.0013976,4.2387E-10,1.7403E-10,0.00038769,0.00041103,0.0012272,0,0,0,0,0,0,package://17_degree/meshes/left_back_link.STL,1,1,1,1,0,0,0,0,0,0,package://17_degree/meshes/left_back_link.STL,,leg-4,坐标系4,基准轴4,left_back_leg,continuous,-0.16011,0.098499,0,1.5708,1.5708,0,base_link,0,-0.29237,-0.9563,5,487,,,,,,,,,,
