Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.9389E-18,2.7246E-08,3.4694E-18,0,0,0,2.1102,0.0077202,-3.3555E-18,-8.7281E-11,0.028144,-2.2837E-18,0.034087,0,0,0,0,0,0,package://7_degree/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://7_degree/meshes/base_link.STL,,body-1,坐标系5,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_fromt_link,-2.7896E-08,0.057624,-0.029074,0,0,0,0.37441,0.00096822,5.1589E-10,7.1578E-10,0.00020497,-2.3959E-06,0.00096716,0,0,0,0,0,0,package://7_degree/meshes/left_fromt_link.STL,1,1,1,1,0,0,0,0,0,0,package://7_degree/meshes/left_fromt_link.STL,,leg-1,坐标系1,基准轴1,left_front_leg,continuous,0.14255,0.10223,0,1.5708,1.5708,0,base_link,0,0.12187,-0.99255,5,487,,,,,,,,,,
right_front_link,2.7896E-08,0.057624,0.029074,0,0,0,0.37441,0.00096822,-5.1589E-10,7.1578E-10,0.00020497,2.3959E-06,0.00096716,0,0,0,0,0,0,package://7_degree/meshes/right_front_link.STL,1,1,1,1,0,0,0,0,0,0,package://7_degree/meshes/right_front_link.STL,,leg-2,坐标系2,基准轴2,right_front_leg,continuous,0.14255,-0.10223,0,1.5708,1.5708,0,base_link,0,0.12187,0.99255,5,487,,,,,,,,,,
right_back_link,6.1997E-09,0.053651,0.03588,0,0,0,0.37441,0.00096823,-4.4537E-10,4.9553E-10,0.00021571,-8.9872E-05,0.00095643,0,0,0,0,0,0,package://7_degree/meshes/right_back_link.STL,1,1,1,1,0,0,0,0,0,0,package://7_degree/meshes/right_back_link.STL,,leg-3,坐标系3,基准轴3,right_back_leg,continuous,-0.14255,-0.10223,0,1.693,1.5708,0,base_link,0,0,1,5,487,,,,,,,,,,
left_back_link,-6.1997E-09,0.048879,-0.042151,0,0,0,0.37441,0.00096823,5.0244E-10,4.3756E-10,0.00024845,0.0001768,0.00092368,0,0,0,0,0,0,package://7_degree/meshes/left_back_link.STL,1,1,1,1,0,0,0,0,0,0,package://7_degree/meshes/left_back_link.STL,,leg-4,坐标系4,基准轴4,left_back_leg,continuous,-0.14255,0.10223,0,1.5708,1.5708,0,base_link,0,-0.12187,-0.99255,5,487,,,,,,,,,,
