Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.9389E-18,7.3339E-08,-3.4694E-18,0,0,0,2.2182,0.0075765,2.2135E-18,-9.8245E-09,0.035007,-2.7594E-18,0.040703,0,0,0,0,0,0,package://23_degree/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://23_degree/meshes/base_link.STL,,body-1,坐标系5,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_fromt_link,-8.8507E-08,0.078568,-0.006227,0,0,0,0.42916,0.0017341,3.7953E-10,5.1777E-10,0.00037963,-0.00045342,0.0015782,0,0,0,0,0,0,package://23_degree/meshes/left_fromt_link.STL,1,1,1,1,0,0,0,0,0,0,package://23_degree/meshes/left_fromt_link.STL,,leg-1,坐标系1,基准轴1,left_front_leg,continuous,0.17025,0.094812,0,1.5708,1.5708,0,base_link,0,0.39073,-0.9205,5,487,,,,,,,,,,
right_front_link,8.8507E-08,0.078568,0.006227,0,0,0,0.42916,0.0017341,-3.7953E-10,5.1777E-10,0.00037963,0.00045342,0.0015782,0,0,0,0,0,0,package://23_degree/meshes/right_front_link.STL,1,1,1,1,0,0,0,0,0,0,package://23_degree/meshes/right_front_link.STL,,leg-2,坐标系2,基准轴2,right_front_leg,continuous,0.17025,-0.094812,0,1.5708,1.5708,0,base_link,0,0.39073,0.9205,5,487,,,,,,,,,,
right_back_link,7.3753E-08,0.069889,0.036431,0,0,0,0.42916,0.0017341,-2.8107E-10,8.0621E-10,0.00023646,-0.00011614,0.0017214,0,0,0,0,0,0,package://23_degree/meshes/right_back_link.STL,1,1,1,1,0,0,0,0,0,0,package://23_degree/meshes/right_back_link.STL,,leg-3,坐标系3,基准轴3,right_back_leg,continuous,-0.17025,-0.094812,0,1.9722,1.5708,0,base_link,0,0,1,5,487,,,,,,,,,,
left_back_link,-7.3753E-08,0.050099,-0.060843,0,0,0,0.42916,0.0017341,5.7373E-10,6.3229E-10,0.00054671,0.00061477,0.0014112,0,0,0,0,0,0,package://23_degree/meshes/left_back_link.STL,1,1,1,1,0,0,0,0,0,0,package://23_degree/meshes/left_back_link.STL,,leg-4,坐标系4,基准轴4,left_back_leg,continuous,-0.17025,0.094812,0,1.5708,1.5708,0,base_link,0,-0.39073,-0.9205,5,487,,,,,,,,,,
