Leg angle [deg],Angular velocity [rad/s]
0,0.5093887765656764
0,0.4878779814488564
0,0.48580119077727335
0,0.45619920578196693
0,0.49300327512599534
0,0.47591850807601843
0,0.49109705472683796
0,0.4480311217214717
0,0.5233751492769024
2,0.5224220320873819
2,0.49107426994740294
2,0.5321168523293582
2,0.514213286286686
2,0.5154204916424945
2,0.5188993864187537
2,0.5234377688874228
2,0.4940708432924971
2,0.5251700377591546
4,0.520489281376831
4,0.5292495925317559
4,0.5217207850196527
4,0.5368968832269178
4,0.5168929053201899
4,0.5301522561224383
4,0.562358892498337
4,0.5505618132871111
4,0.5328808704401038
6,0.5548148891012751
6,0.5894370147044559
6,0.5776387082385358
6,0.5668197145097519
6,0.5716403594325555
6,0.5501647218054653
6,0.5757791309449881
6,0.5780157287737478
6,0.5712923422681617
8,0.6020098436689278
8,0.6230789490081674
8,0.6139569063941789
8,0.6115024837363031
8,0.6124079331996466
8,0.5802812923897421
8,0.6218730105364313
8,0.6271976069512132
8,0.5715444362304258
10,0.6321990696292595
10,0.6297584116295049
10,0.6385898293795004
10,0.6292700370177428
10,0.6217059155661279
10,0.6321592669560271
10,0.6229620894295408
10,0.6181949559027498
10,0.6366601983399457
12,0.6886741109357516
12,0.6945515296825354
12,0.6142737834235011
12,0.6533305824770975
12,0.6708736475172681
12,0.66393683906649
12,0.6844241070248518
12,0.665863076426625
12,0.6209100300781565
14,0.7060555216848913
14,0.6826953985858837
14,0.6839772517946688
14,0.7150814388786373
14,0.6900412552460545
14,0.7230092753504089
14,0.685406550647048
14,0.6888046645750627
14,0.6802621700269017
16,0.6798386544648042
16,0.6816903127404469
16,0.6866541505105511
16,0.7024848265451502
16,0.6959563057383868
16,0.6893260783859598
16,0.6724761981693773
16,0.664118519116516
16,0.7050131963883152
18,0.7330593003009344
18,0.7509743884297665
18,0.7375419046580711
18,0.6867994318235249
18,0.730713881936995
18,0.6913941313111941
18,0.6972281562878954
18,0.6990391590949053
18,0.765853794901268
20,0.7301657685146619
20,0.685831325841863
20,0.705633885298203
20,0.7322471530554802
20,0.7138307986889626
20,0.7312081799539389
20,0.7576719380834924
20,0.7029449142293706
20,0.7249552523633354
22,0.713800922097146
22,0.6912234879931344
22,0.6990599934861207
22,0.6848968444581338
22,0.6762946185635494
22,0.6707030087062166
22,0.7262225885735278
22,0.7112496363163097
22,0.6799651553659684
24,0.6987980472006096
24,0.7132241599848695
24,0.7011966450868989
24,0.7030779610955001
24,0.7100129182529815
24,0.7125571474944937
24,0.711890322806299
24,0.7040703982216486
24,0.7095093415181947
26,0.6850294047229315
26,0.6799239643670877
26,0.6846545977523039
26,0.6807422262643033
26,0.675512784430906
26,0.681902730695969
26,0.6816870113612925
26,0.6905576466140223
26,0.6802756250969642
28,0.6794474880799702
28,0.6715495246935106
28,0.6744909964002338
28,0.6761302487867392
28,0.6726657591586382
28,0.6667466362257256
28,0.671494198410476
28,0.6792798487176531
28,0.671363896832512
30,0.6578523598003446
30,0.6621840046681291
30,0.6710161565272273
30,0.6544164985158045
30,0.6444807161394382
30,0.6701067650492679
30,0.6576380281867776
30,0.6771692884471133
30,0.6640924399234058
