leg_angle [deg],velocity [rads/s]
0,0.5422890977843021
0,0.5345923403210157
0,0.49229695565923237
0,0.5397845967694989
0,0.5373477723181045
2,0.5376989283302525
2,0.5917236737770403
2,0.5689052891711665
2,0.5435404146457834
2,0.6080618407063532
4,0.630718745704554
4,0.6241226231219799
4,0.6304786866761809
4,0.6284695434432388
4,0.6363529505528956
6,0.6939013068868041
6,0.6831294068610221
6,0.644781769877921
6,0.6884743970071938
6,0.7084960533845562
8,0.7070294890568845
8,0.7472049148926958
8,0.7515246749056335
8,0.7058820823200602
8,0.7265922385922797
10,0.7873354273053123
10,0.786857248783244
10,0.7822646470514296
10,0.7863446766943223
10,0.7852256270262898
12,0.7871494171519557
12,0.7858625920643754
12,0.7851209727174233
12,0.7839797570306022
12,0.7853644832917007
14,0.7821497319649688
14,0.7856542652365691
14,0.785384163890868
14,0.7851627369071118
14,0.7856858883220368
16,0.7829667798775359
16,0.7886992311602044
16,0.7841340506046788
16,0.7865595658790621
16,0.7826149184499094
18,0.7868330009310814
18,0.7835239674183202
18,0.7851258565707655
18,0.7871630985238941
18,0.7859837705019947
20,0.7852978716594728
20,0.7900164422250974
20,0.7833540649127524
20,0.7845891379328835
20,0.7891492132691048
22,0.7895376097998114
22,0.7832996557024683
22,0.7854962825010825
22,0.7847288876567228
22,0.7850334621602132
24,0.7853612208625131
24,0.784897622476762
24,0.7881606754972796
24,0.784177669504929
24,0.7856075766038237
26,0.786379015975775
26,0.7863165289558383
26,0.7857219163712612
26,0.784331851672449
26,0.7856875961196575
28,0.7839435392261457
28,0.7861900402591768
28,0.7855269561198704
28,0.7865190962661892
28,0.7895173185965806
30,0.7829287271842559
30,0.7874394034949918
30,0.7890637264571094
30,0.7882571525354066
30,0.782807389034182
